item,sku,category,unit,count_unit,conversion_factor,pack_size,pack_kind,current_unit,current_count_unit,latest_cost_cents
Sabi Wabi 'Sugi' Semillon,,Wine — White,bottle,bottle,1,,,ml,,2365
SALT COD FILLETS 1KG + R/W (Fresh),,Dry / Pantry,each,each,1,,,kg,,2100
SALT ROCK COARSE 10KG (Olssons) EA,,Dry / Pantry,each,each,1,,each,kg,,950
SALT TABLE 14KG (Olssons) CTN,,Dry / Pantry,each,each,1,,,kg,,1400
SAMMY PIQUANT JETSETTER 700ML BOTTLE,,Non-Alcoholic & Mixers,bottle,bottle,1,,,ml,,17970
Sandrone Le Vigne Barolo,,Wine — Red,bottle,bottle,1,,,ml,,36000
SAUCE PEPPER RED TABASCO 350ML (Tabasco) EA (12),,Oils & Condiments,each,each,1,,each,ml,,1750
SCALLOPS 10/20 CHINA R/OFF 1KG (Trading) EA (10),,Seafood,kg,kg,1,,each,kg,,4400
SCALLOPS IQF 10/20 R/OFF 1KG (Shark Bay),,Seafood,kg,kg,1,,,kg,,8200
SEA SALT FLAKES 6KG (Olssons) CTN,,Dry / Pantry,each,each,1,,,kg,,6550
SESAME SEED WHITE 1KG (Galaxy) EA (12),,Dry / Pantry,each,each,1,,each,kg,,900
Shallots Golden Peeled 1kg Bag,,Produce,each,each,1,,,kg,,1568
SIETE LEGUAS BLANCO 700ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,11328
SIETE MISTERIOS DOBA YEJ 700ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,8281
STRANGELOVE LEMON SQUASH - (CASE OF 24),,Non-Alcoholic & Mixers,case,each,24,24,case,units,,5768
STRANGELOVE VERY MANDARIN - (CASE OF 24),,Non-Alcoholic & Mixers,case,each,24,24,case,units,,5768
STRANGELOVE YUZU SODA - (CASE OF 24),,Non-Alcoholic & Mixers,case,each,24,24,case,units,,5768
Strawberries Extra Lge Punnet,,Produce,punnet,punnet,1,,,units,,450
SUPASAWA 700ML - (CASE OF 6),,Non-Alcoholic & Mixers,case,bottle,6,6,case,ml,,14826
TAMARIND CONCENTRATE 1LT (Mae Ploy) EA (12),,Oils & Condiments,each,each,1,,each,ml,,600
TAPATIO BLANCO 750ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,9637
TERRALTA BLANCO 750ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,9439
Teusner Righteous FG Shiraz,,Wine — Red,bottle,bottle,1,,,ml,,14000
THOQUINO CACACHA 700ML BOTTLE,,Spirits — Other,bottle,bottle,1,,,ml,,5987
Thyme Bunch,,Produce,bunch,bunch,1,,,units,,238
THYME LEAVES 200GM (Natures Secret) EA,,Herbs & Spices,each,each,1,,each,g,,800
Tolpuddle Chardonnay,,Wine — White,bottle,bottle,1,,,ml,,10000
Torbreck 'The Factor' Shiraz,,Wine — Red,bottle,bottle,1,,,ml,,13500
TROMBA ANEJO 750ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,10025
TROMBA REPOSADO 750ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,8447
Vandal 'Gonzo Combat Rouge' Red Blend,,Wine — Red,bottle,bottle,1,,,ml,,1777
Vandal Gonzo Militia White Blend 750mL,,Wine — White,bottle,bottle,1,,,ml,,1779
VINEGAR SHERRY 500ML (Chefs Choice),,Oils & Condiments,each,each,1,,,ml,,800
VINEGAR WHITE 4LT (Edlyn) EA (3),,Oils & Condiments,each,each,1,,each,l,,430
VINEGAR WHITE 5LT (Menu Master) EA (3),,Oils & Condiments,each,each,1,,each,l,,750
VOK CREME DE CACAO WHITE 500ML BOTTLE,,Liqueurs & Aperitifs,bottle,bottle,1,,,ml,,2323
VOK CREME DE CACAO WHITE 500ML - (CASE OF 6),,Liqueurs & Aperitifs,case,bottle,6,6,case,ml,,13938
VOLANS BLANCO 750ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,9999
VOLANS EXTRA ANEJO 750ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,19299
Water,,Non-Alcoholic & Mixers,each,each,1,,,ml,,0
Watermelon Juice (1 x 5L),,Non-Alcoholic & Mixers,L,L,1,1,case,ml,,3000
Wedge Cerveza Keg,,Beer & Cider,keg,keg,1,,,ml,,27000
Wendouree Cabernet Malbec,,Wine — Red,bottle,bottle,1,,,ml,,25000
Whole dried Ancho Chilli 1kg,,Dry / Pantry,each,each,1,,,kg,,4500
Whole Dried Arbol Chilli 75GRS,,Dry / Pantry,each,each,1,,,g,,412
Whole dried Cascabel Chilli 1kg,,Dry / Pantry,each,each,1,,,g,,10700
Whole dried Guajillo (Mirasol) Chilli 1kg,,Dry / Pantry,each,each,1,,,kg,,4815
Whole dried Pasilla Chilli 1kg,,Dry / Pantry,each,each,1,,,kg,,4500
WONTON EGG WRAPPER 300GM (Mc Yee Noodles) EA,,Dry / Pantry,each,each,1,,each,g,,300
WOODFORD RESERVE 700ML BOTTLE,,Spirits — Other,bottle,bottle,1,,,ml,,5772
Zucchini Medium,,Produce,each,each,1,,,kg,,361
Apple Juice 2 Litre Bottle,,Non-Alcoholic & Mixers,bottle,bottle,1,,,ml,,700
Apples Granny Smith kg,,Produce,kg,kg,1,,,kg,,0
ARTICHOKE JERUSALEM box (5kg),,Produce,each,each,1,,,kg,,9240
Avocadoes Hass Tray,,Produce,each,each,1,,,units,,3550
Basil Bunch,,Produce,bunch,bunch,1,,,1,,380
CAPI GRAPEFRUIT SODA - (CASE OF 12),,Non-Alcoholic & Mixers,case,each,12,12,case,ml,,4495
Coriander Bunch,,Produce,bunch,bunch,1,,,1,,238
Cucumber Quks Punnet,,Produce,punnet,punnet,1,,,g,,380
Cucumber Telegraph Each,,Produce,each,each,1,,each,units,,200
FINEST CALL PASSIONFRUIT PUREE 1L BOTTLE,,Non-Alcoholic & Mixers,bottle,bottle,1,,,ml,,1512
Forage Fresh Mix (100 gram),,Produce,each,each,1,,,g,,950
GIFFARD GREEN APPLE SYRUP 1000ML BOTTLE,,Non-Alcoholic & Mixers,bottle,bottle,1,,,ml,,2140
Grapefruit Juice 2 Litre Bottle,,Non-Alcoholic & Mixers,bottle,bottle,1,,,ml,,750
Grapefruit Ruby Kg,,Produce,kg,kg,1,,,kg,,380
Lime Juice (1 x 5L),,Non-Alcoholic & Mixers,L,L,1,1,case,ml,,7000
Limes Volume Box,,Produce,each,each,1,,,kg,,5950
LYRES TRIPLE SEC 700ML BOTTLE,,Liqueurs & Aperitifs,bottle,bottle,1,,,ml,,3519
OIL VEGETABLE 20LT (Trading) EA,,Oils & Condiments,each,each,1,,each,l,,5400
ONION POWDER 500GM (Galaxy) EA,,Herbs & Spices,each,each,1,,each,g,,900
Onions Brown Med-Lge 10kg Bag,,Produce,each,each,1,,,kg,,1950
ONION SPANISH kg,,Produce,kg,kg,1,,,kg,,560
Onions Spanish Large Bag,,Produce,each,each,1,,,kg,,3200
Oranges Large Kg,,Produce,kg,kg,1,,,kg,,380
Pineapples Each,,Produce,each,each,1,,each,kg,,580
Pineapples Topless Each,,Produce,each,each,1,,each,units,,750
Potatoes Brushed Kg,,Produce,kg,kg,1,,,kg,,238
Spicy Pineapple Margarita Keg 20L,,Spirits — Tequila & Mezcal,L,L,1,,,ml,,0
Spring Onion Bunch,,Produce,bunch,bunch,1,,,units,,266
TOMATILLOS A10 GREEN TOMATO (Faro) EA (6),,Produce,each,each,1,,each,units,,1350
TOMATO box LRG (10kg),,Produce,each,each,1,,,kg,,6480
TOMATO CHERRY 400GM (Chefs Choice) EA (12),,Produce,each,each,1,,each,g,,220
Tomatoes Large Box,,Produce,each,each,1,,,kg,,3550
Tomatoes Medley 200 Punnets,,Produce,punnet,punnet,1,,,g,,350
TOMATO PASSATA 720ml (Mazza Pomodoro) EA (12),,Oils & Condiments,each,each,1,,each,ml,,260
TOMATO PASTE 500GM (Leggos) EA (6),,Oils & Condiments,each,each,1,,each,g,,445
TOMATO PEELED PELATI A9 2.5KG (Mutti) EA (6),,Produce,each,each,1,,each,kg,,1130
BATLOW APPLE CIDER CAN - (CASE OF 24),,Beer & Cider,case,can,24,24,case,units,units,0
BUTTER UNSALTED 1KG (Devondale),,Dairy & Eggs,each,each,1,,,kg,,1650
BUTTER UNSALTED 500GM Devondale,,Dairy & Eggs,each,each,1,,,g,,850
FORTALEZA REPOSADO 750ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,12745
Freshwater Brewing Keg,,Beer & Cider,keg,keg,1,,,l,,30250
GIFFARD FALERNUM 1000ML BOTTLE,,Non-Alcoholic & Mixers,bottle,bottle,1,,,ml,,2140
MILK LONG LIFE UHT 1LT (Devondale) EA (10),,Dairy & Eggs,each,each,1,,each,l,,265
Oasis Pale Ale,,Beer & Cider,bottle,bottle,1,,,units,,313
Secrets Hazy Pale Keg,,Beer & Cider,keg,keg,1,,,ml,,27000
STRANGELOVE DOUBLE GINGER BEER - (CASE OF 24),,Non-Alcoholic & Mixers,case,each,24,24,case,units,,6241
VINEGAR APPLE CIDER 5LT (PGF) EA (2),,Oils & Condiments,each,each,1,,each,l,,2100
2024 Domaine Christian Salmon Sancerre AC (Case of 12),,Wine — White,case,bottle,12,12,case,ml,,42576
Billecart Salmon Rose,,Wine — Rosé,bottle,bottle,1,,,ml,,15500
KINGFISH FILLET S/OFF SASHIMI GRADE 1KG S.A FARMED (Hiramasa),,Seafood,kg,kg,1,,,kg,,6990
"KINGFISH WHOLE FARMED 3-4KG SASHIMI GRADE R/W S.A (Hiramasa). Ordered: 3 KG, Supplied Qty: 5.4 KG, Reason for adjustment: Random Weight",,Seafood,kg,kg,1,,,3kg,,21330
OCTOPUS HANDS IMPORTED 1KG (Trading) EA (10),,Seafood,kg,kg,1,,each,kg,,2100
PRAWN CUTLETS RAW NATURAL 21/25 1KG VANNAMEI IMP (Trading) EA (10),,Seafood,kg,kg,1,,each,kg,,2250
SALMON FILLET S/ON TASI SASHIMI 1.5-2KG  (Huon),,Seafood,kg,kg,1,,,kg,,3450
SALMON FILLETS S/OFF TASI SASHIMI 1.5-2KG R/W (Huon),,Seafood,kg,kg,1,,,kg,,4290
SNAPPER WHOLE PLATE SIZE 700-900GM NZ R/W (Fresh),,Seafood,kg,kg,1,,,kg,,2050
2023 Nick Spencer Gruner Veltliner (Case of 12),,Wine — White,case,bottle,12,12,case,ml,,24324
APEROL APERITIF 700ML BOTTLE,,Liqueurs & Aperitifs,bottle,bottle,1,,,ml,,2996
BELVEDERE PURE VODKA : 700 ml,,Spirits — Other,bottle,bottle,1,,,ml,,6196
BREADCRUMBS JAPANESE PANKO YELLOW 1KG (Natures Secret) EA (6),,Bakery,each,each,1,,each,kg,,625
CAMPARI 700ML BOTTLE,,Liqueurs & Aperitifs,bottle,bottle,1,,,ml,,3865
FORTALEZA BLANCO 750ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,ml,11200
FOUR PILLARS RARE DRY GIN 700ML BOTTLE,,Spirits — Other,bottle,bottle,1,,,ml,,6333
GIFFARD GINGER SYRUP 1000ML BOTTLE,,Non-Alcoholic & Mixers,bottle,bottle,1,,,ml,,2140
GIFFARD MANDARIN LIQUEUR 700ML BOTTLE,,Liqueurs & Aperitifs,bottle,bottle,1,,,ml,,4936
GIFFARD MARASCHINO LIQUEUR 700ML BOTTLE,,Liqueurs & Aperitifs,bottle,bottle,1,,,ml,,4136
GIFFARD VIOLETTE 700ML BOTTLE,,Liqueurs & Aperitifs,bottle,bottle,1,,,ml,,4136
Ginger kg,,Produce,kg,kg,1,,,kg,,0
JAMESON IRISH WHISKEY 1000ML BOTTLE,,Spirits — Other,bottle,bottle,1,,,ml,,7754
KATUN GIN 700ML BOTTLE,,Spirits — Other,bottle,bottle,1,,,ml,,8550
LYRES WHITE CANE SPIRIT 700ML BOTTLE,,Spirits — Other,bottle,bottle,1,,,ml,,20442
MADRE MEZCAL ENSAMBLE 750ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,8986
MADRE MEZCAL ESPADIN 750ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,8394
Manly Spirits Bulk 20Ltr Australian Dry Gin 1 x 20ltr Drum,,Spirits — Other,L,L,1,1,case,ml,,132000
MASSENEZ BIRDSEYE CHILLI 700ML BOTTLE,,Liqueurs & Aperitifs,bottle,bottle,1,,,ml,,4909
MEZCAL VERDE MOMENTO 700ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,7636
OCHO PLATA 700ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,9732
OCHO REPOSADO 700ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,10428
OIL OLIVE EXTRA VIRGIN 4LT (Natures Secret),,Oils & Condiments,each,each,1,,,g,,4900
PECAN NUT 1KG (Trumps),,Dry / Pantry,each,each,1,,,g,,3100
Rum,,Spirits — Other,bottle,bottle,1,,,ml,,40482
SAN COSME MEZCAL 700ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,7872
Triple SEC 20L - 20% ABV,,Liqueurs & Aperitifs,L,L,1,,,l,,68000
TSEC 20L (NoSugar) - 20L - 20% ABV,,Liqueurs & Aperitifs,L,L,1,,,ml,,68000
VODKA ONE 700ML BOTTLE,,Spirits — Other,bottle,bottle,1,,,ml,,3849
2015 Geoff Merrill Reserve Cabernet Sauvignon (Case of 6),,Wine — Red,case,bottle,6,6,case,ml,,17304
2020 Nielson Pinot Noir (Case of 12),,Wine — Red,case,bottle,12,12,case,ml,,36000
2021 Domaine Schlumberger Saering Grand Cru Alsace (Case of 6),,Wine — White,case,bottle,6,6,case,ml,,28512
2022 Atlas 'Eden Valley' Riesling (Case of 6),,Wine — White,case,bottle,6,6,case,ml,,9200
2022 Helen's Hill 'The Smuggler' Pinot Noir (Case of 6),,Wine — Red,case,bottle,6,6,case,ml,,18054
2022 Utopos Cabernet Sauvignon (Case of 6),,Wine — Red,case,bottle,6,6,case,ml,,24400
2022 Weingut Huls Riesling (Case of 6),,Wine — White,case,bottle,6,6,case,ml,,12642
2023 Catalina Sounds 'Sound of White' Sauvignon Blanc (Case of 6),,Wine — White,case,bottle,6,6,case,ml,,9460
2023 Gilbert Sauvignon Blanc (Case of 12),,Wine — White,case,bottle,12,12,case,ml,,1775
2023 Greystone Pinot Gris (Case of 12),,Wine — White,case,bottle,12,12,case,ml,,17190
2023 Haddow & Dineen 'Private Universe' Pinot Noir (Case of 6),,Wine — Red,case,bottle,6,6,case,ml,,2833
2023 Red Claw Pinot Noir (Case of 6),,Wine — Red,case,bottle,6,6,case,ml,,15326
2024 Domaine Thompson Explorer Pinot Noir (Case of 12),,Wine — Red,case,bottle,12,12,case,ml,,24100
2024 El Desperado Pinot Noir (Case of 12),,Wine — Red,case,bottle,12,12,case,ml,,14796
2024 Frogmore Creek Riesling (Case of 6),,Wine — White,case,bottle,6,6,case,ml,,9840
2024 Grosset Polish Hill Riesling (Case of 12),,Wine — White,case,bottle,12,12,case,ml,,59988
Novum Pinot Noir,,Wine — Red,bottle,bottle,1,,,ml,,4615
Surco 2.7 Cabernet Sauvignon,,Wine — Red,bottle,bottle,1,,,ml,,2635
VINEGAR RICE WINE 250ML (Obento) EA (6),,Oils & Condiments,each,each,1,,each,ml,,400
VINEGAR WHITE WINE 500ML (PGF) EA,,Oils & Condiments,each,each,1,,each,ml,,500
White Cooking Wine 15L - Elegre,,Oils & Condiments,each,each,1,,,l,,4375
Yalumba 'The Reserve' Cabernet Sauvignon,,Wine — Red,bottle,bottle,1,,,ml,,18000
Agave Syrup,,Oils & Condiments,each,each,1,,,L,L,5673
Aguas Mansas,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,6505
Alipus San Baltazar,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,
Alipus San Juan,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,7473
Allspice,,Herbs & Spices,each,each,1,,,350 Grams,350 Grams,1400
Alquimia Blanco,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,700 mL,700 mL,
Amaro Montenegro,,Liqueurs & Aperitifs,bottle,bottle,1,,,700 mL,700 mL,4885
Aperol,,Liqueurs & Aperitifs,bottle,bottle,1,,,700 mL,700 mL,2996
Apple Juice,,Non-Alcoholic & Mixers,each,each,1,,,2 L,2 L,665
Aprendiz Ensamble Mezcal,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,13300
Arette Blanco,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,700 mL,700 mL,
Arette Reposado,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,700 mL,700 mL,
Arette Reposado Los Primos Edition,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,
Arette Suave Blanco,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,
ArteNom 1579,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,700 mL,700 mL,
Artichokes Jerusalem Box,,Produce,each,each,1,,,Kilo,Kilo,
Ascorbic Acid,,Dry / Pantry,each,each,1,,,600 Grams,600 Grams,
Atlas Eden Valley Riesling,,Wine — White,bottle,bottle,1,,,750 mL,750 mL,
Avocadoes Hass,,Produce,each,each,1,,,5 KG,5 KG,3298
Badenhorst Secateurs Chenin Blanc,,Wine — White,bottle,bottle,1,,,750 mL,750 mL,
Ballantines Scotch,,Spirits — Other,bottle,bottle,1,,,1000 mL,1000 mL,
Balter Cerveza,,Beer & Cider,bottle,bottle,1,,,Each,Each,228
Barramundi Fillets,,Seafood,kg,kg,1,,,Kilo,Kilo,1740
Barsol Pisco,,Spirits — Other,bottle,bottle,1,,,700 mL,700 mL,7020
Batanga Blanco,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,700 mL,700 mL,6100
Batanga Reposado,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,700 mL,700 mL,6951
Batlow Cloudy Cider,,Beer & Cider,bottle,bottle,1,,,Each,Each,307
Beans Black Dry,,Dry / Pantry,each,each,1,,,Kilo,Kilo,493
Beans Butter,,Dry / Pantry,each,each,1,,,Each,Each,
Beef Chuck Roll,,Meat & Poultry,kg,kg,1,,,Each,Each,
Beef Flank Steak,,Meat & Poultry,kg,kg,1,,,Kilo,Kilo,2862
Beef Short Ribs Grainfed 3rib,,Meat & Poultry,kg,kg,1,,,Kilo,Kilo,2677
Belvedere Vodka,,Spirits — Other,bottle,bottle,1,,,700 mL,700 mL,6196
BenMarco Valle de Uco Malbec,,Wine — Red,bottle,bottle,1,,,750 mL,750 mL,2522
Bonnet & Cotton Beaujolais Rouge,,Wine — Red,bottle,bottle,1,,,750 mL,750 mL,
Breadcrumbs Panko,,Bakery,each,each,1,,,Kilo,Kilo,624
Brookies Mac,,Liqueurs & Aperitifs,bottle,bottle,1,,,700 mL,700 mL,
Bruxo No. 4,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,9020
Butter Unsalted,,Dairy & Eggs,each,each,1,,,Kilo,Kilo,1650
Cabbage,,Produce,each,each,1,,,Each,Each,424
Cabbage Red,,Produce,each,each,1,,,Each,Each,471
Calle 23 Anejo,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,700 mL,700 mL,
Calle 23 Blanco,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,700 mL,700 mL,7720
Calle 23 Reposado,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,700 mL,700 mL,8880
Campari Aperitif,,Liqueurs & Aperitifs,bottle,bottle,1,,,700 mL,700 mL,3869
Cannonball Cabernet Sauvignon,,Wine — Red,bottle,bottle,1,,,750 mL,750 mL,
Capa Tempranillo,,Wine — Red,bottle,bottle,1,,,750 mL,750 mL,1509
Capi Ginger Beer,,Non-Alcoholic & Mixers,each,each,1,,,Each,Each,197
Capi Sparkling Grapefruit,,Non-Alcoholic & Mixers,each,each,1,,,Each,Each,197
Captain Morgan,,Spirits — Other,bottle,bottle,1,,,700 mL,700 mL,
Cascahuin Blanco,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,
Cascahuin Extra Anejo,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,700 mL,700 mL,
Cascahuin Plata 48%,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,700 mL,700 mL,
Cascahuin Tahona Blanco,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,700 mL,700 mL,
Catalina Sounds Sound of White Sauvignon Blanc,,Wine — White,bottle,bottle,1,,,750 mL,750 mL,2034
Cauli fl ower,,Produce,each,each,1,,,Each,Each,641
Celeriac,,Produce,each,each,1,,,Each,Each,
Chambord,,Liqueurs & Aperitifs,bottle,bottle,1,,,700 mL,700 mL,
Chartreuse Green,,Liqueurs & Aperitifs,bottle,bottle,1,,,700 mL,700 mL,10020
Cheese Goat,,Dairy & Eggs,each,each,1,,,Kilo,Kilo,2757
Cheese Halloumi,,Dairy & Eggs,each,each,1,,,750 Grams,750 Grams,1700
Cheese Mozzarella Shredded,,Dairy & Eggs,each,each,1,,,Kilo,Kilo,1150
Cheese Ricotta Salata,,Dairy & Eggs,each,each,1,,,700 Grams,700 Grams,1700
Chicken Thigh Fillet Skin Off,,Meat & Poultry,kg,kg,1,,,Kilo,Kilo,1820
Chilli Choptle in Adobo,,Oils & Condiments,each,each,1,,,3 KG,3 KG,1846
Chilli Guajillo Dried,,Dry / Pantry,each,each,1,,,kg,kg,4824
Chilli Habenero,,Produce,each,each,1,,,Kilo,Kilo,
Chilli Habenero Kg,,Produce,kg,kg,1,,,1 KG,1 KG,
Chilli Jalapeno,,Produce,each,each,1,,,Kilo,Kilo,1413
Chilli Poblano,,Produce,each,each,1,,,Kilo,Kilo,
Chips Shoestring Fries,,Frozen,each,each,1,,,Kilo,Kilo,447
Cinnamon Ground,,Herbs & Spices,each,each,1,,,400 Grams,400 Grams,1100
Cinnamon Quill,,Herbs & Spices,each,each,1,,,200 Grams,200 Grams,
Clase Azul Reposado,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,
Coconut Cream,,Dry / Pantry,each,each,1,,,560 mL,560 mL,350
Coconut Flakes,,Dry / Pantry,each,each,1,,,500 Grams,500 Grams,551
Coconut Milk,,Dry / Pantry,each,each,1,,,400 mL,400 mL,
Codigo 1530 Rosa,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,700 mL,700 mL,
Cointreau 1L,,Liqueurs & Aperitifs,bottle,bottle,1,,,each,,
Coriander Ground,,Produce,each,each,1,,,400 Grams,400 Grams,
Corona Extra Beer,,Beer & Cider,bottle,bottle,1,,,Each,Each,260
Corralejo Anejo,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,700 mL,700 mL,
Corralejo Blanco,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,700 mL,700 mL,6817
Cream Thickened,,Dairy & Eggs,each,each,1,,,Litre,Litre,773
Cucumber Quks,,Produce,each,each,1,,,Punnet,Punnet,330
Cucumber Telegraph,,Produce,each,each,1,,,Each,Each,238
Cumin Ground,,Herbs & Spices,each,each,1,,,450 Grams,450 Grams,1105
DELI CHORIZO RODRIGUEZ,,Meat & Poultry,kg,kg,1,,,kg,kg,1980
Del Maguey Minero,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,14080
Del Maguey Vida,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,9060
Dill Bunch,,Produce,bunch,bunch,1,,,Bunch,Bunch,238
Dolin Dry Vermouth,,Liqueurs & Aperitifs,bottle,bottle,1,,,750 mL,750 mL,2270
Domaine Thomson Explorer Pinot Noir,,Wine — Red,bottle,bottle,1,,,750 mL,750 mL,2331
Don Fulano Anejo,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,700 mL,700 mL,12280
Don Fulano Blanco,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,700 mL,700 mL,9720
Don Julio 1942,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,
Don Julio Anejo,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,
Don Julio Blanco,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,8340
Don Julio Reposado,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,
Eggs Dozen,,Dairy & Eggs,each,each,1,,,Each,Each,673
El Desperado Pinot Noir,,Wine — Red,bottle,bottle,1,,,750 mL,750 mL,1234
El Jolgorio Arroqueno (Black Red),,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,
El Jolgorio Cuishe (Purple),,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,
El Jolgorio Espadin (Green),,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,
El Jolgorio Jabali (Black Tan),,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,
El Jolgorio Madrecuishe (Pink),,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,
El Jolgorio Mexicano (Brown),,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,
El Jolgorio Pechuga (Black Yellow),,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,
El Jolgorio Pechuga (Yellow),,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,
El Jolgorio Sierrudo (Black Green),,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,
El Jolgorio Tepeztate (Blue),,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,
El Jolgorio Tobasiche (Black Brown),,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,
El Jolgorio Todos Santos Arroqueno (Neon Pink),,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,
El Jolgorio Todos Santos Tobasiche (Neon Orange),,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,
El Tequileno 1959 Anejo,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,
El Tequileno 1959 Platinum,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,
El Tequileno 1959 Reposado Gran Reserva,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,9000
El Tequileno 1959 Reposado Rare,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,
El Tequileno Blanco,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,4900
El Tequileno Reposado,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,5895
El Tesoro Anejo,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,
El Tesoro Blanco,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,
El Tesoro Reposado,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,750 mL,750 mL,
Eperosa Magnolia Semillon,,Wine — White,bottle,bottle,1,,,750 mL,750 mL,
Fee Brothers Grapefruit Bitters,,Non-Alcoholic & Mixers,each,each,1,,,150 mL,150 mL,2218
First Press Black Cold Drip Coffee Mixer,,Non-Alcoholic & Mixers,each,each,1,,,750 mL,750 mL,1722
Flour Plain,,Dry / Pantry,each,each,1,,,Kilo,Kilo,114
Flower Edible Elder,,Produce,each,each,1,,,Punnet,Punnet,
Flower Edible Marigold,,Produce,each,each,1,,,Punnet,Punnet,989
