item,sku,category,unit,count_unit,conversion_factor,pack_size,pack_kind,current_unit,current_count_unit,latest_cost_cents
2023 Shut The Gate For Freedom Gewurtztraminer (Case of 12),,Wine — White,case,bottle,12,12,case,ml,,17600
2023 Te Mata 'Elston' Chardonnay (Case of 6),,Wine — White,case,bottle,6,6,case,ml,,17395
2023 Teusner The G Grenache (Case of 6),,Wine — Red,case,bottle,6,6,case,ml,,9400
2023 Teusner 'Wark Family' Shiraz (Case of 12),,Wine — Red,case,bottle,12,12,case,ml,,16800
2024 Badenhorst 'Secateurs' Chenin Blanc (Case of 12),,Wine — White,case,bottle,12,12,case,ml,,21395
2024 Giant Steps Rose (Case of 6),,Wine — Rosé,case,bottle,6,6,case,ml,,12900
2024 i Lauri Pecorino D'Abruzzo (Case of 6),,Wine — White,case,bottle,6,6,case,ml,,14094
2024 Poggio Anima 'Uriel' Grillo (Case of 12),,Wine — White,case,bottle,12,12,case,ml,,18312
2024 R. Paulazzo Rose (Case of 12),,Wine — Rosé,case,bottle,12,12,case,ml,,12771
2024 Shaw & Smith 'M3' Chardonnay (Case of 6),,Wine — White,case,bottle,6,6,case,ml,,17907
2024 Thorin 'Terres de Craie' Macon Villages (Case of 12),,Wine — White,case,bottle,12,12,case,ml,,25896
2024 Vanguardist 'Field' GSM (Case of 6),,Wine — Red,case,bottle,6,6,case,ml,,21628
2024 Vinden 'Headcase' Semillon (Case of 12),,Wine — White,case,bottle,12,12,case,ml,,24000
2024 Yangarra Estate 'Circle' Shiraz (Case of 6),,Wine — Red,case,bottle,6,6,case,ml,,7902
ABASOLO 750ML BOTTLE,,Spirits — Other,bottle,bottle,1,,,ml,,11592
ACHIOTE PASTE 1KG (El Yucateco) EA (15),,Oils & Condiments,each,each,1,,each,kg,,1400
Agave Syrup Clear (4L),,Oils & Condiments,each,each,1,,,kg,,5670
AGUAS MANSAS 700ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,6500
AGUAS MANSAS 700ML - (CASE OF 6),,Spirits — Tequila & Mezcal,case,bottle,6,6,case,ml,,39000
ALMOND BLANCHED WHOLE 1KG (Natures Secret) EA (12),,Dry / Pantry,each,each,1,,each,kg,,1900
ALMOND SLICE 1KG -flakes (Natures Secret) EA (10),,Dry / Pantry,each,each,1,,each,kg,,1900
ALMOND SMOKED 1KG (Natures Secret) EA (12),,Dry / Pantry,each,each,1,,each,kg,,1900
AMARO MONTENEGRO 700ML BOTTLE,,Liqueurs & Aperitifs,bottle,bottle,1,,,ml,,4886
APRENDIZ 750ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,13299
ARETTE BLANCO 700ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,6772
ARETTE REPOSADO 700ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,7994
ARETTE SUAVE BLANCO 750ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,12106
A Rodda Tempranillo 2023 (Case of 12),,Wine — Red,case,bottle,12,12,case,ml,,25470
Ascorbic Acid 600g - Red Spoon,,Dry / Pantry,each,each,1,,,g,,5350
BALLANTINE'S SCOTCH 1000ML BOTTLE,,Spirits — Other,bottle,bottle,1,,,ml,,6701
